"Age","Gender","working_hours","usefulness_1","usefulness_2","usefulness_3","conflicts_1","conflicts_2","conflicts_3","insecurity_1","insecurity_2","attention_check","insecurity_3","insecurity_4","overload_1","overload_2","overload_3","unreliability_1","unreliability_2","unreliability_3","job_satisfaction_1","job_satisfaction_2","job_satisfaction_3","job_performance_1","job_performance_2","job_performance_3","usefulness","conflict","insecurity","overload","unreliability","job_satisfaction","job_performance"
24,"Female","40",4,2,2,5,1,2,1,3,"Untrue",1,1,3,5,2,3,1,1,5,4,3,6,6,6,2.66666666666667,2.66666666666667,1.5,3.33333333333333,1.66666666666667,4,6
40,"Male","40",3,1,1,3,3,3,5,5,"Untrue",5,5,2,2,2,2,3,2,6,6,6,6,6,6,1.66666666666667,3,5,2,2.33333333333333,6,6
41,"Male","40",2,1,2,3,5,4,4,5,"Untrue",3,5,2,4,1,2,5,3,5,6,6,4,4,4,1.66666666666667,4,4.25,2.33333333333333,3.33333333333333,5.66666666666667,4
38,"Male","40",2,2,2,3,3,3,2,3,"Untrue",3,3,3,2,1,4,3,3,7,7,7,7,6,6,2,3,2.75,2,3.33333333333333,7,6.33333333333333
42,"Female","40",2,2,2,5,5,5,2,1,"Untrue",2,2,6,5,3,2,2,2,6,6,6,6,5,5,2,5,1.75,4.66666666666667,2,6,5.33333333333333
50,"Female","35",7,5,2,2,1,1,1,1,"Untrue",4,3,4,6,5,2,5,3,7,6,5,3,3,3,4.66666666666667,1.33333333333333,2.25,5,3.33333333333333,6,3
36,"Male","40",4,5,5,7,7,7,1,1,"Untrue",1,1,4,4,1,5,6,7,7,7,7,4,7,7,4.66666666666667,7,1,3,6,7,6
33,"Female","40",5,3,1,5,5,5,6,5,"Untrue",6,5,5,6,3,4,4,5,4,4,4,6,6,6,3,5,5.5,4.66666666666667,4.33333333333333,4,6
33,"Female","40",2,2,2,4,5,5,2,4,"Untrue",2,2,5,4,6,1,3,2,6,6,7,6,6,6,2,4.66666666666667,2.5,5,2,6.33333333333333,6
34,"Male","40",2,2,2,2,2,2,4,4,"Untrue",4,3,2,2,2,2,2,2,6,6,6,6,6,6,2,2,3.75,2,2,6,6
42,"Male","32",1,1,1,3,3,3,2,2,"Untrue",2,4,3,4,1,5,3,1,7,6,6,4,4,4,1,3,2.5,2.66666666666667,3,6.33333333333333,4
27,"Male","30",1,1,1,5,6,6,1,1,"Untrue",1,1,4,4,2,5,5,6,7,7,7,5,5,4,1,5.66666666666667,1,3.33333333333333,5.33333333333333,7,4.66666666666667
33,"Female","40",2,3,2,3,3,2,1,1,"Untrue",2,2,2,2,2,2,2,2,5,6,5,5,5,5,2.33333333333333,2.66666666666667,1.5,2,2,5.33333333333333,5
33,"Female","40",1,1,1,4,4,1,1,1,"Untrue",3,1,1,1,3,1,1,1,6,6,6,5,5,5,1,3,1.5,1.66666666666667,1,6,5
29,"Male","40",1,1,1,1,1,1,1,1,"Untrue",2,1,1,1,1,1,1,1,6,5,5,4,4,4,1,1,1.25,1,1,5.33333333333333,4
29,"Female","20",1,1,1,1,1,1,1,1,"Untrue",6,6,1,1,1,2,2,2,6,5,5,6,6,6,1,1,3.5,1,2,5.33333333333333,6
31,"Male","40",2,2,3,7,6,7,2,3,"Untrue",5,3,6,6,6,3,4,4,5,5,3,4,4,6,2.33333333333333,6.66666666666667,3.25,6,3.66666666666667,4.33333333333333,4.66666666666667
35,"Female","40",2,2,1,3,2,2,4,3,"Untrue",3,4,4,3,2,5,3,5,6,6,6,6,3,6,1.66666666666667,2.33333333333333,3.5,3,4.33333333333333,6,5
30,"Male","40",2,2,2,3,4,1,1,1,"Untrue",2,2,2,2,3,2,2,2,6,6,6,5,5,7,2,2.66666666666667,1.5,2.33333333333333,2,6,5.66666666666667
33,"Male","40",4,2,2,1,1,2,1,1,"Untrue",2,3,2,1,2,5,3,3,2,5,1,5,3,3,2.66666666666667,1.33333333333333,1.75,1.66666666666667,3.66666666666667,2.66666666666667,3.66666666666667
35,"Female","40",2,2,2,2,3,4,2,2,"Untrue",2,3,2,2,2,2,2,2,6,6,6,4,4,4,2,3,2.25,2,2,6,4
30,"Male","40",4,4,2,2,3,3,2,3,"Untrue",4,4,3,3,3,5,4,4,5,4,4,5,4,4,3.33333333333333,2.66666666666667,3.25,3,4.33333333333333,4.33333333333333,4.33333333333333
31,"Male","40",2,2,2,3,5,3,2,2,"Untrue",2,2,6,3,6,2,1,1,7,7,7,6,5,6,2,3.66666666666667,2,5,1.33333333333333,7,5.66666666666667
33,"Male","40",5,5,2,2,2,2,2,2,"Untrue",2,3,2,2,1,4,5,3,6,5,7,5,5,5,4,2,2.25,1.66666666666667,4,6,5
38,"Male","40",3,2,1,5,7,7,1,1,"Untrue",1,1,6,6,1,2,2,2,6,6,6,6,6,7,2,6.33333333333333,1,4.33333333333333,2,6,6.33333333333333
45,"Male","40",1,1,1,2,2,1,1,1,"Untrue",1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1.66666666666667,1,1,1,7,7
25,"Female","20",1,1,1,1,3,3,1,2,"Untrue",2,3,4,5,3,4,4,3,6,6,6,5,6,5,1,2.33333333333333,2,4,3.66666666666667,6,5.33333333333333
23,"Male","40",1,1,3,1,3,1,1,4,"Untrue",3,1,1,2,3,3,3,3,7,6,7,5,4,4,1.66666666666667,1.66666666666667,2.25,2,3,6.66666666666667,4.33333333333333
22,"Male","39",3,2,1,4,4,4,2,3,"Untrue",3,1,2,3,5,3,4,2,6,5,5,4,3,3,2,4,2.25,3.33333333333333,3,5.33333333333333,3.33333333333333
24,"Male","40",6,2,6,6,7,7,4,7,"Untrue",6,6,6,6,6,6,5,6,6,6,6,6,6,6,4.66666666666667,6.66666666666667,5.75,6,5.66666666666667,6,6
